hour,mean_reflectivity,rainfall_volume,rain_fraction,maximum,std
0,12.47632824982765,1897.566251039026,0.011506005722520779,16.552712718759434,1.6699841677130043
1,12.147600951181674,1815.6439525504713,0.0108772063536231,16.034644690389676,1.6136544650816969
2,11.682497698485042,1754.285907084436,0.010247763751358413,15.287200228735092,1.5102135466646578
3,11.371156844015953,1754.3057787533137,0.010049421801111682,14.81071370683821,1.4374317812820598
4,11.085575320692692,1703.862935829886,0.009684614431381277,14.340591350325093,1.3593838934460452
5,11.066096820885196,1657.4305216861155,0.009367957889869166,14.21087958635516,1.3173859603155418
6,11.20357535258318,1487.1267769000056,0.008674091570955767,14.302647695775322,1.2986279834322598
7,11.55919007235747,1383.0429943789347,0.008357394404707221,14.70969430704465,1.3047948598891592
8,11.54750007913469,1345.9349447672369,0.008257932342386967,14.711325400453239,1.3068541954801174
9,11.575097888132193,1322.5779438565903,0.008156741057892134,14.750439102570162,1.321716572841369
10,11.78296945622115,1185.010677992589,0.007568956688238201,15.07351157282082,1.3799035434273874
11,12.509401834307203,1205.2787708418775,0.00773082685628095,16.334352786058428,1.6163079884200153
12,13.733078520629626,1327.9782359417818,0.008439505581862409,18.522356317757822,2.041023664721075
13,15.367433789500057,1773.2916657280236,0.011099495643588728,21.621391362984014,2.6444674256417775
14,16.6511443157653,2279.0595852506,0.014207344186079227,23.98031398161642,3.1045172428465264
15,17.405898615242045,2714.400677211258,0.01684935842977339,25.44642419470338,3.3945485427923963
16,17.567478793809908,2906.6965394065114,0.01838094778523257,25.770165917621703,3.430856122965698
17,17.090166722449073,3170.4499440117384,0.020088046642026524,24.966391358685904,3.2061258639711316
18,15.857161653907383,2978.11695915969,0.019138058783641377,22.892764624884638,2.8145936151447866
19,15.532069119827506,2888.4759108606067,0.018693767573917216,22.109607933555132,2.5910974689075776
20,15.073897472670069,2647.8134550449013,0.01725388696317054,21.050048417062484,2.3802377127811734
21,14.697815827713546,2631.8895925599786,0.016608209737945166,20.270627179291715,2.220569037768525
22,14.08684895141103,2393.414477344364,0.01500741707621428,19.269807432373035,2.0595984939667944
23,13.364579637693772,2148.690156874552,0.013272221798685285,18.057838091602942,1.894023760101739
