month,mean_reflectivity,rainfall_volume,rain_fraction,maximum
1,17.1174028298842,3157.5859533030653,0.02041398292108399,24.627186339430022
2,15.401576631134326,3681.451898910812,0.021633010730570335,22.268710472447882
3,15.706281150384946,2055.6057957896182,0.013550458334776673,22.407902095314043
4,13.140165203764901,1055.0464155022996,0.007142055554867075,17.768020587494597
5,10.544796683501332,1738.7097410450908,0.00889258605816997,13.712893432167844
6,10.160824907811731,762.0390212581513,0.0049261514748094775,12.816343147993427
7,9.105133670336782,601.1191990089337,0.0038562267525024357,11.202380173349681
8,10.436340888663421,1512.7374027620187,0.008196743321224649,13.163253367072738
9,12.095199373805468,2641.5823695245795,0.013965704032569755,15.380681277223019
10,13.314096440680787,1942.5338526356268,0.01225274643709167,17.71509042395925
11,16.19656807434215,2119.7873347909617,0.014678109990609992,22.406278610846268
12,16.995323528026884,2532.1065305870334,0.0171100930989341,24.05470343525861
